Año,Dia,Accidentes,Heridos,Muertos
2012,Lunes,1676,1659,6
2012,Martes,1691,1750,2
2012,Miércoles,1743,1769,5
2012,Jueves,1857,1893,5
2012,Viernes,1971,1976,4
2012,Sábado,1490,1452,6
2012,Domingo,1266,1264,5
2013,Lunes,1663,1703,4
2013,Martes,1792,1866,7
2013,Miércoles,1746,1745,1
2013,Jueves,1752,1807,7
2013,Viernes,1987,2024,6
2013,Sábado,1506,1458,4
2013,Domingo,1256,1267,4
2014,Lunes,1751,1885,2
2014,Martes,1781,1857,1
2014,Miércoles,1812,1990,3
2014,Jueves,1862,1885,6
2014,Viernes,1911,1989,6
2014,Sábado,1475,1487,2
2014,Domingo,1311,1303,4
2015,Lunes,1729,1884,2
2015,Martes,1766,1882,2
2015,Miércoles,1854,1984,2
2015,Jueves,1747,1839,3
2015,Viernes,1907,2024,4
2015,Sábado,1433,1476,5
2015,Domingo,1287,1294,6
2016,Lunes,1745,1848,5
2016,Martes,1754,1801,3
2016,Miércoles,1816,1916,7
2016,Jueves,1933,2007,6
2016,Viernes,2182,2250,5
2016,Sábado,1548,1527,6
2016,Domingo,1359,1344,3
2017,Lunes,1666,1881,6
2017,Martes,1879,1993,3
2017,Miércoles,1923,2020,1
2017,Jueves,1892,2008,5
2017,Viernes,2108,2230,8
2017,Sábado,1453,1484,2
2017,Domingo,1449,1457,2
2018,Lunes,2294,1968,2
2018,Martes,2265,1974,1
2018,Miércoles,2285,1997,7
2018,Jueves,2354,1967,5
2018,Viernes,2723,2383,8
2018,Sábado,1879,1499,3
2018,Domingo,1693,1449,10
2019,Lunes,3034,1824,4
2019,Martes,3363,2119,4
2019,Miércoles,3396,2106,7
2019,Jueves,3389,1995,6
2019,Viernes,3679,2238,5
2019,Sábado,2663,1644,6
2019,Domingo,2408,1458,1
2020,Lunes,1954,1069,4
2020,Martes,2058,1245,4
2020,Miércoles,2147,1276,7
2020,Jueves,2214,1278,4
2020,Viernes,2405,1380,7
2020,Sábado,1853,1078,2
2020,Domingo,1539,894,6
2021,Lunes,2470,1428,2
2021,Martes,2582,1496,1
2021,Miércoles,2610,1425,1
2021,Jueves,2727,1575,4
2021,Viernes,3099,1755,4
2021,Sábado,2368,1317,7
2021,Domingo,2099,1173,5
2022,Lunes,2790,1590,2
2022,Martes,2995,1708,2
2022,Miércoles,3081,1705,2
2022,Jueves,3072,1774,4
2022,Viernes,3323,1880,4
2022,Sábado,2666,1549,3
2022,Domingo,2294,1207,3
